"Timestamp","Where do you live right now?","How many things did you ordered from Amazon in 2018? (Please answer in Arabic number)","In 2018, how many items did you order from Amazon that were lost/says delivered but you never got them? (Please answer in Arabic number)","In 2018, how many items did you thought that were lost and reported to the Amazon customer service, but turns out they were not lost and you received them later on? (Please answer in Arabic number)"
"2018/11/04 2:54:49 PM EST","Emory Point","18","0","3"
"2018/11/04 2:57:54 PM EST","Clairmont","1","0","0"
"2018/11/04 3:01:24 PM EST","Emory Point","28","0","2"
"2018/11/04 3:03:24 PM EST","Other off-campus apartment/house","4","0","0"
"2018/11/04 3:03:52 PM EST","Emory Point","20","0","1"
"2018/11/04 3:05:31 PM EST","Emory Point","28","7","3"
"2018/11/04 3:09:27 PM EST","Emory Point","12","3","1"
"2018/11/04 3:17:35 PM EST","Emory Point","8","1","2"
"2018/11/04 3:17:42 PM EST","Clairmont","6","0","0"
"2018/11/04 3:20:00 PM EST","Emory Point","40","1","2"
"2018/11/04 3:23:26 PM EST","Other off-campus apartment/house","12","1","1"
"2018/11/04 3:26:01 PM EST","Emory Point","40","2","0"
"2018/11/04 3:31:47 PM EST","Clairmont","10","0","0"
"2018/11/04 3:32:51 PM EST","Other off-campus apartment/house","25","0","0"
"2018/11/04 3:34:28 PM EST","Emory Point","5","1","1"
"2018/11/04 3:34:57 PM EST","On main campus (any dorms that would receive mails and packages from the mail center on main campus )","60","0","0"
"2018/11/04 3:42:24 PM EST","Other off-campus apartment/house","50","1","2"
"2018/11/04 3:55:44 PM EST","Other off-campus apartment/house","20","0","0"
"2018/11/04 4:17:57 PM EST","Emory Point","7","0","0"
"2018/11/04 4:23:17 PM EST","Other off-campus apartment/house","17","0","0"
"2018/11/04 4:59:47 PM EST","Emory Point","8","0","0"
"2018/11/04 6:06:21 PM EST","Emory Point","23","1","0"
"2018/11/04 7:22:30 PM EST","Emory Point","28","2","3"
"2018/11/07 10:33:12 AM EST","On main campus (any dorms that would receive mails and packages from the mail center on main campus )","20","0","1"
"2018/11/07 1:00:34 PM EST","Clairmont","10","0","0"
"2018/11/09 5:40:57 PM EST","Other off-campus apartment/house","10","0","0"